Timestamp,Battery_Percentage
2024-09-27 16:47:32,50%
2024-09-27 16:48:32,53%
2024-09-27 16:49:32,53%
2024-09-27 16:50:32,55%
2024-09-27 16:51:32,55%
2024-09-27 16:52:32,57%
2024-09-27 16:53:32,57%
2024-09-27 16:54:32,59%
2024-09-27 16:55:33,59%
2024-09-27 16:56:33,59%
2024-09-27 16:57:33,61%
2024-09-27 16:58:33,61%
2024-09-27 16:59:33,63%
2024-09-27 17:00:33,63%
2024-09-27 17:01:33,65%
2024-09-27 17:02:33,65%
2024-09-27 17:03:33,67%
2024-09-27 17:04:33,67%
2024-09-27 17:05:33,69%
2024-09-27 17:06:33,69%
2024-09-27 17:07:33,71%
2024-09-27 17:08:34,71%
2024-09-27 17:09:34,73%
2024-09-27 17:10:34,73%
2024-09-27 17:11:34,75%
2024-09-27 17:12:34,75%
2024-09-27 17:13:34,77%
2024-09-27 17:14:34,77%
2024-09-27 17:15:34,78%
2024-09-27 17:16:34,78%
2024-09-27 17:17:34,80%
2024-09-27 17:18:34,80%
2024-09-27 17:19:34,81%
2024-09-27 17:20:35,81%
2024-09-27 17:21:35,83%
2024-09-27 17:22:35,83%
2024-09-27 17:23:35,84%
2024-09-27 17:24:35,84%
2024-09-27 17:25:35,85%
2024-09-27 17:26:35,85%
2024-09-27 17:27:35,86%
2024-09-27 17:28:35,86%
2024-09-27 17:29:35,88%
2024-09-27 17:30:35,88%
2024-09-27 17:31:35,89%
2024-09-27 17:32:35,89%
2024-09-27 17:33:35,90%
2024-09-27 17:34:35,90%
2024-09-27 17:35:35,91%
2024-09-27 17:36:36,91%
2024-09-27 17:37:36,92%
2024-09-27 17:38:36,92%
2024-09-27 17:39:36,93%
2024-09-27 17:40:36,93%
2024-09-27 17:41:36,94%
2024-09-27 17:42:36,94%
2024-09-27 17:43:36,95%
2024-09-27 17:44:36,95%
2024-09-27 17:45:36,95%
2024-09-27 17:46:36,95%
2024-09-27 17:47:36,96%
2024-09-27 17:48:36,96%
2024-09-27 17:49:36,97%
2024-09-27 17:50:36,97%
2024-09-27 17:51:36,97%
2024-09-27 17:52:36,97%
2024-09-27 17:53:36,98%
2024-09-27 17:54:36,98%
2024-09-27 17:55:37,98%
2024-09-27 17:56:37,98%
2024-09-27 17:57:37,99%
2024-09-27 17:58:37,99%
2024-09-27 17:59:37,99%
2024-09-27 18:00:37,99%
2024-09-27 18:01:37,100%
2024-09-27 18:02:37,100%
2024-09-27 18:03:37,100%
2024-09-27 18:04:37,100%
2024-09-27 18:05:37,100%
2024-09-27 18:06:37,100%
2024-09-27 18:07:37,100%
2024-09-27 18:08:37,100%
2024-09-27 18:09:37,100%
2024-09-27 18:10:37,100%
2024-09-27 18:11:37,100%
2024-09-27 18:12:37,100%
2024-09-27 18:13:38,100%
2024-09-27 18:14:38,100%
2024-09-27 18:15:38,100%
2024-09-27 18:16:38,100%
2024-09-27 18:17:38,100%
2024-09-27 18:18:38,100%
2024-09-27 18:19:38,100%
2024-09-27 18:20:38,100%
2024-09-27 18:21:38,100%
2024-09-27 18:22:38,100%
2024-09-27 18:23:38,100%
2024-09-27 18:24:38,100%
2024-09-27 18:25:38,100%
2024-09-27 18:26:38,99%
2024-09-27 18:27:38,99%
2024-09-27 18:28:39,96%
2024-09-27 18:29:39,96%
2024-09-27 18:30:39,95%
2024-09-27 18:31:39,95%
2024-09-27 18:32:39,94%
2024-09-27 18:33:39,94%
2024-09-27 18:34:39,93%
2024-09-27 18:35:39,93%
2024-09-27 18:36:39,92%
2024-09-27 18:37:39,92%
2024-09-27 18:38:39,91%
2024-09-27 18:39:39,91%
2024-09-27 18:40:39,90%
2024-09-27 18:41:39,90%
2024-09-27 18:42:39,90%
2024-09-27 18:43:39,90%
2024-09-27 18:44:39,89%
2024-09-27 18:45:39,89%
2024-09-27 18:46:40,88%
2024-09-27 18:47:40,88%
2024-09-27 18:48:40,88%
2024-09-27 18:49:40,88%
2024-09-27 18:50:40,87%
2024-09-27 18:51:40,87%
2024-09-27 18:52:40,86%
2024-09-27 18:53:40,86%
2024-09-27 18:54:40,86%
2024-09-27 18:55:40,86%
2024-09-27 18:56:40,85%
2024-09-27 18:57:40,85%
2024-09-27 18:58:40,85%
2024-09-27 18:59:40,85%
2024-09-27 19:00:40,84%
2024-09-27 19:01:40,84%
2024-09-27 19:02:40,83%
2024-09-27 19:03:40,83%
2024-09-27 19:04:40,83%
2024-09-27 19:05:40,83%
2024-09-27 19:06:41,82%
2024-09-27 19:07:41,82%
2024-09-27 19:08:41,81%
2024-09-27 19:09:41,81%
2024-09-27 19:10:41,81%
2024-09-27 19:11:41,81%
2024-09-27 19:12:41,80%
2024-09-27 19:13:41,80%
2024-09-27 19:14:41,80%
2024-09-27 19:15:41,80%
2024-09-27 19:16:41,79%
2024-09-27 19:17:41,79%
2024-09-27 19:18:41,78%
2024-09-27 19:19:41,78%
2024-09-27 19:20:41,78%
2024-09-27 19:21:41,78%
2024-09-27 19:22:41,77%
2024-09-27 19:23:41,77%
