Timestamp,Battery_Percentage,Time_Remaining
2024-09-28 13:29:56,13%,1.8 hours
2024-09-28 13:30:57,15%,1.6 hours
2024-09-28 13:31:57,15%,1.6 hours
2024-09-28 13:32:57,17%,1.6 hours
2024-09-28 13:33:57,17%,1.6 hours
2024-09-28 13:34:57,18%,1.8 hours
2024-09-28 13:35:57,18%,1.8 hours
2024-09-28 13:36:57,20%,1.5 hours
2024-09-28 13:37:57,20%,1.5 hours
2024-09-28 13:38:57,21%,1.5 hours
2024-09-28 13:39:57,21%,1.5 hours
2024-09-28 13:40:57,23%,1.4 hours
2024-09-28 13:41:57,23%,1.4 hours
2024-09-28 13:42:57,25%,1.7 hours
2024-09-28 13:43:57,25%,1.7 hours
2024-09-28 13:44:58,26%,1.6 hours
2024-09-28 13:45:58,26%,1.6 hours
2024-09-28 13:46:58,28%,1.5 hours
2024-09-28 13:47:58,28%,1.5 hours
2024-09-28 13:48:58,29%,1.5 hours
2024-09-28 13:49:58,29%,1.5 hours
2024-09-28 13:50:58,31%,1.4 hours
2024-09-28 13:51:59,31%,1.4 hours
2024-09-28 13:52:59,33%,1.2 hours
2024-09-28 13:53:59,33%,1.2 hours
2024-09-28 13:54:59,34%,1.2 hours
2024-09-28 13:55:59,34%,1.2 hours
2024-09-28 13:56:59,36%,1.2 hours
2024-09-28 13:57:59,36%,1.2 hours
2024-09-28 13:58:59,38%,1.1 hours
2024-09-28 13:59:59,38%,1.1 hours
2024-09-28 14:00:59,40%,1.1 hours
2024-09-28 14:01:59,40%,1.1 hours
2024-09-28 14:02:59,42%,1.0 hours
2024-09-28 14:03:59,42%,1.0 hours
2024-09-28 14:04:59,43%,1.0 hours
2024-09-28 14:05:59,43%,1.0 hours
2024-09-28 14:06:59,45%,58.1 minutes
2024-09-28 14:07:59,45%,58.1 minutes
2024-09-28 14:08:59,47%,56.0 minutes
2024-09-28 14:09:59,47%,56.0 minutes
2024-09-28 14:10:59,49%,53.8 minutes
2024-09-28 14:11:59,49%,53.8 minutes
2024-09-28 14:13:00,50%,51.9 minutes
2024-09-28 14:14:00,50%,51.9 minutes
2024-09-28 14:15:00,52%,49.7 minutes
2024-09-28 14:16:00,52%,49.7 minutes
2024-09-28 14:17:00,54%,47.6 minutes
2024-09-28 14:18:00,54%,47.6 minutes
2024-09-28 14:19:00,56%,45.6 minutes
2024-09-28 14:20:00,56%,45.6 minutes
2024-09-28 14:21:00,57%,43.6 minutes
2024-09-28 14:22:00,57%,43.6 minutes
2024-09-28 14:23:00,59%,41.6 minutes
2024-09-28 14:24:00,59%,41.6 minutes
2024-09-28 14:25:00,61%,39.6 minutes
2024-09-28 14:26:00,61%,39.6 minutes
2024-09-28 14:27:00,63%,37.7 minutes
2024-09-28 14:28:00,63%,37.7 minutes
2024-09-28 14:29:00,64%,35.8 minutes
2024-09-28 14:30:00,64%,35.8 minutes
2024-09-28 14:31:00,66%,33.9 minutes
2024-09-28 14:32:00,66%,33.9 minutes
2024-09-28 14:33:01,68%,32.1 minutes
2024-09-28 14:34:01,68%,32.1 minutes
2024-09-28 14:35:01,70%,30.5 minutes
2024-09-28 14:36:01,70%,30.5 minutes
2024-09-28 14:37:01,71%,29.5 minutes
2024-09-28 14:38:01,71%,29.5 minutes
2024-09-28 14:39:01,73%,29.5 minutes
2024-09-28 14:40:01,73%,29.5 minutes
2024-09-28 14:41:01,75%,30.5 minutes
2024-09-28 14:42:01,75%,30.5 minutes
2024-09-28 14:43:01,76%,31.5 minutes
2024-09-28 14:44:01,76%,31.5 minutes
2024-09-28 14:45:01,77%,32.5 minutes
2024-09-28 14:46:01,77%,32.5 minutes
2024-09-28 14:47:01,78%,33.4 minutes
2024-09-28 14:48:01,78%,33.4 minutes
2024-09-28 14:49:01,79%,34.1 minutes
2024-09-28 14:50:01,79%,34.1 minutes
2024-09-28 14:51:01,80%,34.7 minutes
2024-09-28 14:52:02,80%,34.7 minutes
2024-09-28 14:53:02,81%,35.2 minutes
2024-09-28 14:54:02,81%,35.2 minutes
2024-09-28 14:55:02,82%,35.3 minutes
2024-09-28 14:56:02,82%,35.3 minutes
2024-09-28 14:57:02,83%,35.6 minutes
2024-09-28 14:58:02,83%,35.6 minutes
2024-09-28 14:59:02,84%,35.8 minutes
2024-09-28 15:00:02,84%,35.8 minutes
2024-09-28 15:01:02,85%,36.1 minutes
2024-09-28 15:02:02,85%,36.1 minutes
2024-09-28 15:03:02,85%,36.5 minutes
2024-09-28 15:04:02,85%,36.5 minutes
2024-09-28 15:05:02,86%,37.1 minutes
2024-09-28 15:06:02,86%,37.1 minutes
2024-09-28 15:07:02,86%,38.3 minutes
2024-09-28 15:08:02,86%,38.3 minutes
2024-09-28 15:09:02,87%,39.2 minutes
2024-09-28 15:10:02,87%,39.2 minutes
2024-09-28 15:11:02,88%,40.9 minutes
2024-09-28 15:12:03,88%,40.9 minutes
2024-09-28 15:13:03,88%,43.4 minutes
2024-09-28 15:14:03,88%,43.4 minutes
2024-09-28 15:15:03,88%,46.2 minutes
2024-09-28 15:16:03,88%,46.2 minutes
2024-09-28 15:17:03,89%,49.4 minutes
2024-09-28 15:18:03,89%,49.4 minutes
2024-09-28 15:19:03,89%,53.3 minutes
2024-09-28 15:20:03,89%,53.3 minutes
2024-09-28 15:21:03,90%,58.1 minutes
2024-09-28 15:22:03,90%,58.1 minutes
2024-09-28 15:23:03,90%,1.1 hours
2024-09-28 15:24:03,90%,1.1 hours
2024-09-28 15:25:03,90%,1.2 hours
2024-09-28 15:26:03,90%,1.2 hours
2024-09-28 15:27:03,100%,N/A
2024-09-28 15:28:04,100%,N/A
2024-09-28 15:29:04,100%,N/A
2024-09-28 15:30:04,100%,N/A
2024-09-28 15:31:04,100%,N/A
2024-09-28 15:32:04,100%,N/A
2024-09-28 15:33:04,100%,N/A
2024-09-28 15:34:05,100%,N/A
2024-09-28 15:35:05,100%,N/A
2024-09-28 15:36:05,100%,N/A
2024-09-28 15:37:05,100%,N/A
2024-09-28 15:38:05,100%,N/A
2024-09-28 15:39:05,100%,N/A
2024-09-28 15:40:05,100%,N/A
2024-09-28 15:41:05,100%,N/A
2024-09-28 15:42:06,97%,1.3 hours
2024-09-28 15:43:06,97%,1.3 hours
2024-09-28 15:44:06,95%,1.2 hours
2024-09-28 15:45:06,95%,1.2 hours
2024-09-28 15:46:07,93%,1.2 hours
2024-09-28 15:47:07,93%,1.2 hours
2024-09-28 15:48:07,90%,1.1 hours
2024-09-28 15:49:07,90%,1.1 hours
2024-09-28 15:50:07,88%,1.1 hours
2024-09-28 15:51:07,88%,1.1 hours
2024-09-28 15:52:07,85%,1.1 hours
2024-09-28 15:53:08,85%,1.1 hours
2024-09-28 15:54:08,83%,1.1 hours
2024-09-28 15:55:08,83%,1.1 hours
2024-09-28 15:56:08,81%,1.1 hours
2024-09-28 15:57:08,81%,1.1 hours
2024-09-28 15:58:09,78%,1.0 hours
2024-09-28 15:59:09,78%,1.0 hours
2024-09-28 16:00:09,76%,59.5 minutes
2024-09-28 16:01:09,76%,59.5 minutes
2024-09-28 16:02:10,74%,1.1 hours
2024-09-28 16:03:10,74%,1.1 hours
2024-09-28 16:04:10,71%,48.7 minutes
2024-09-28 16:05:10,71%,48.7 minutes
2024-09-28 16:06:10,68%,52.9 minutes
2024-09-28 16:07:10,68%,52.9 minutes
2024-09-28 16:08:10,66%,1.6 hours
2024-09-28 16:09:10,66%,1.6 hours
2024-09-28 16:10:10,65%,1.8 hours
2024-09-28 16:11:11,65%,1.8 hours
2024-09-28 16:12:11,64%,1.5 hours
2024-09-28 16:13:11,64%,1.5 hours
2024-09-28 16:14:11,62%,1.8 hours
2024-09-28 16:15:11,62%,1.8 hours
2024-09-28 16:16:11,61%,59.5 minutes
2024-09-28 16:17:11,61%,59.5 minutes
2024-09-28 16:18:11,58%,40.5 minutes
2024-09-28 16:19:11,58%,40.5 minutes
2024-09-28 16:20:11,55%,38.6 minutes
2024-09-28 16:21:12,55%,38.6 minutes
2024-09-28 16:22:12,52%,40.4 minutes
2024-09-28 16:23:12,52%,40.4 minutes
2024-09-28 16:24:12,50%,37.7 minutes
2024-09-28 16:25:13,50%,37.7 minutes
2024-09-28 16:26:13,47%,35.3 minutes
2024-09-28 16:27:13,47%,35.3 minutes
2024-09-28 16:28:13,45%,1.2 hours
2024-09-28 16:29:13,45%,1.2 hours
2024-09-28 16:30:13,44%,1.2 hours
2024-09-28 16:31:13,44%,1.2 hours
2024-09-28 16:32:13,42%,1.2 hours
2024-09-28 16:33:13,42%,1.2 hours
2024-09-28 16:34:13,41%,1.3 hours
2024-09-28 16:35:13,41%,1.3 hours
2024-09-28 16:36:14,40%,47.1 minutes
2024-09-28 16:37:14,40%,47.1 minutes
2024-09-28 16:38:14,38%,29.9 minutes
2024-09-28 16:39:14,38%,29.9 minutes
2024-09-28 16:40:14,35%,29.4 minutes
2024-09-28 16:41:14,35%,29.4 minutes
2024-09-28 16:42:14,34%,44.5 minutes
2024-09-28 16:43:14,34%,44.5 minutes
2024-09-28 16:44:14,31%,27.2 minutes
2024-09-28 16:45:14,31%,27.2 minutes
2024-09-28 16:46:14,29%,31.3 minutes
2024-09-28 16:47:14,29%,31.3 minutes
2024-09-28 16:48:15,27%,30.5 minutes
2024-09-28 16:49:15,27%,30.5 minutes
2024-09-28 16:50:15,25%,21.5 minutes
2024-09-28 16:51:15,25%,21.5 minutes
2024-09-28 16:52:15,23%,33.5 minutes
2024-09-28 16:53:15,23%,33.5 minutes
2024-09-28 16:54:15,21%,24.7 minutes
2024-09-28 16:55:15,21%,24.7 minutes
2024-09-28 16:56:15,19%,15.8 minutes
2024-09-28 16:57:15,18%,19.1 minutes
2024-09-28 16:58:15,6%,8.1 minutes
2024-09-28 16:59:15,6%,10.9 minutes
2024-09-28 17:00:15,6%,2.0 hours
2024-09-28 17:01:16,6%,2.0 hours
2024-09-28 17:02:16,7%,2.0 hours
2024-09-28 17:03:16,7%,2.0 hours
