Timestamp,Battery_Percentage
2024-07-31 00:36:15,6%
2024-07-31 00:36:44,6%
2024-07-31 00:37:15,6%
2024-07-31 00:37:44,6%
2024-07-31 00:38:15,6%
2024-07-31 00:38:44,6%
2024-07-31 00:39:15,6%
2024-07-31 00:39:44,6%
2024-07-31 00:40:15,6%
2024-07-31 00:40:44,8%
2024-07-31 00:41:15,8%
2024-07-31 00:41:44,8%
2024-07-31 00:42:15,8%
2024-07-31 00:42:44,11%
2024-07-31 00:43:15,11%
2024-07-31 00:43:44,11%
2024-07-31 00:44:15,11%
2024-07-31 00:44:44,13%
2024-07-31 00:45:15,13%
2024-07-31 00:45:44,13%
2024-07-31 00:46:15,13%
2024-07-31 00:46:44,15%
2024-07-31 00:47:15,15%
2024-07-31 00:47:44,15%
2024-07-31 00:48:15,15%
2024-07-31 00:48:45,18%
2024-07-31 00:49:16,18%
2024-07-31 00:49:45,18%
2024-07-31 00:50:16,18%
2024-07-31 00:50:45,20%
2024-07-31 00:51:16,20%
2024-07-31 00:51:45,20%
2024-07-31 00:52:16,20%
2024-07-31 00:52:45,22%
2024-07-31 00:53:16,22%
2024-07-31 00:53:45,22%
2024-07-31 00:54:16,22%
2024-07-31 00:54:45,25%
2024-07-31 00:55:16,25%
2024-07-31 00:55:45,25%
2024-07-31 00:56:16,25%
2024-07-31 00:56:45,27%
2024-07-31 00:57:16,27%
2024-07-31 00:57:45,27%
2024-07-31 00:58:16,27%
2024-07-31 00:58:45,29%
2024-07-31 00:59:16,29%
2024-07-31 00:59:45,29%
2024-07-31 01:00:16,29%
2024-07-31 01:00:45,32%
2024-07-31 01:01:16,32%
2024-07-31 01:01:45,32%
2024-07-31 01:02:16,32%
2024-07-31 01:02:45,34%
2024-07-31 01:03:16,34%
2024-07-31 01:03:45,34%
2024-07-31 01:04:16,34%
2024-07-31 01:04:45,36%
2024-07-31 01:05:16,36%
2024-07-31 01:05:45,36%
2024-07-31 01:06:16,36%
2024-07-31 01:06:45,39%
2024-07-31 01:07:16,39%
2024-07-31 01:07:45,39%
2024-07-31 01:08:16,39%
2024-07-31 01:08:45,41%
2024-07-31 01:09:16,41%
2024-07-31 01:09:45,41%
2024-07-31 01:10:16,41%
2024-07-31 01:10:46,43%
2024-07-31 01:11:17,43%
2024-07-31 01:11:46,43%
2024-07-31 01:12:17,43%
2024-07-31 01:12:46,46%
2024-07-31 01:13:17,46%
2024-07-31 01:13:46,46%
2024-07-31 01:14:17,46%
2024-07-31 01:14:46,48%
2024-07-31 01:15:17,48%
2024-07-31 01:15:46,48%
2024-07-31 01:16:17,48%
2024-07-31 01:16:46,50%
2024-07-31 01:17:17,50%
2024-07-31 01:17:46,50%
2024-07-31 01:18:17,50%
2024-07-31 01:18:46,53%
2024-07-31 01:19:17,53%
2024-07-31 01:19:46,53%
2024-07-31 01:20:17,53%
2024-07-31 01:20:46,55%
2024-07-31 01:21:17,55%
2024-07-31 01:21:46,55%
2024-07-31 01:22:17,55%
2024-07-31 01:22:46,57%
2024-07-31 01:23:17,57%
2024-07-31 01:23:46,57%
2024-07-31 01:24:17,57%
2024-07-31 01:24:46,60%
2024-07-31 01:25:17,60%
2024-07-31 01:25:46,60%
2024-07-31 01:26:17,60%
2024-07-31 01:26:46,62%
2024-07-31 01:27:17,62%
2024-07-31 01:27:46,62%
2024-07-31 01:28:17,62%
2024-07-31 01:28:46,64%
2024-07-31 01:29:17,64%
2024-07-31 01:29:46,64%
2024-07-31 01:30:17,64%
2024-07-31 01:30:46,67%
2024-07-31 01:31:17,67%
2024-07-31 01:31:46,67%
2024-07-31 01:32:17,67%
2024-07-31 01:32:46,69%
2024-07-31 01:33:17,69%
2024-07-31 01:33:47,69%
2024-07-31 01:34:18,69%
2024-07-31 01:34:47,71%
2024-07-31 01:35:18,71%
2024-07-31 01:35:47,71%
2024-07-31 01:36:18,71%
2024-07-31 01:36:47,73%
2024-07-31 01:37:18,73%
2024-07-31 01:37:47,73%
2024-07-31 01:38:18,73%
2024-07-31 01:38:47,76%
2024-07-31 01:39:18,76%
2024-07-31 01:39:47,76%
2024-07-31 01:40:18,76%
2024-07-31 01:40:47,78%
2024-07-31 01:41:18,78%
2024-07-31 01:41:47,78%
2024-07-31 01:42:18,78%
2024-07-31 01:42:47,80%
2024-07-31 01:43:18,80%
2024-07-31 01:43:47,80%
2024-07-31 01:44:18,80%
2024-07-31 01:44:47,82%
2024-07-31 01:45:18,82%
2024-07-31 01:45:47,82%
2024-07-31 01:46:18,82%
2024-07-31 01:46:47,83%
2024-07-31 01:47:18,83%
2024-07-31 01:47:47,83%
2024-07-31 01:48:18,83%
2024-07-31 01:48:47,85%
2024-07-31 01:49:18,85%
2024-07-31 01:49:47,85%
2024-07-31 01:50:18,85%
2024-07-31 01:50:47,86%
2024-07-31 01:51:18,86%
2024-07-31 01:51:47,86%
2024-07-31 01:52:18,86%
2024-07-31 01:52:47,87%
2024-07-31 01:53:18,87%
2024-07-31 01:53:47,87%
2024-07-31 01:54:18,87%
2024-07-31 01:54:47,88%
2024-07-31 01:55:18,88%
2024-07-31 01:55:48,88%
2024-07-31 01:56:19,88%
2024-07-31 01:56:48,89%
2024-07-31 01:57:19,89%
2024-07-31 01:57:48,89%
2024-07-31 01:58:19,89%
2024-07-31 01:58:48,90%
2024-07-31 01:59:19,90%
2024-07-31 01:59:48,90%
2024-07-31 02:00:19,90%
2024-07-31 02:00:48,91%
2024-07-31 02:01:19,91%
2024-07-31 02:01:48,91%
2024-07-31 02:02:19,91%
2024-07-31 02:02:48,92%
2024-07-31 02:03:19,92%
2024-07-31 02:03:48,92%
2024-07-31 02:04:19,92%
2024-07-31 02:04:48,93%
2024-07-31 02:05:19,93%
2024-07-31 02:05:48,93%
2024-07-31 02:06:19,93%
2024-07-31 02:06:48,93%
2024-07-31 02:07:19,93%
2024-07-31 02:07:48,93%
2024-07-31 02:08:19,93%
2024-07-31 02:08:48,94%
2024-07-31 02:09:19,94%
2024-07-31 02:09:48,94%
2024-07-31 02:10:19,94%
2024-07-31 02:10:48,95%
2024-07-31 02:11:19,95%
2024-07-31 02:11:48,95%
2024-07-31 02:12:19,95%
2024-07-31 02:12:48,95%
2024-07-31 02:13:19,95%
2024-07-31 02:13:48,95%
2024-07-31 02:14:19,95%
2024-07-31 02:14:48,96%
2024-07-31 02:15:19,96%
2024-07-31 02:15:48,96%
2024-07-31 02:16:19,96%
2024-07-31 02:16:48,96%
2024-07-31 02:17:19,96%
2024-07-31 02:17:48,96%
2024-07-31 02:18:19,96%
2024-07-31 02:18:49,97%
2024-07-31 02:19:20,97%
2024-07-31 02:19:49,97%
2024-07-31 02:20:20,97%
2024-07-31 02:20:49,97%
2024-07-31 02:21:20,97%
2024-07-31 02:21:49,97%
2024-07-31 02:22:20,97%
2024-07-31 02:22:49,97%
2024-07-31 02:23:20,97%
2024-07-31 02:23:49,97%
2024-07-31 02:24:20,97%
2024-07-31 02:24:49,98%
2024-07-31 02:25:20,98%
2024-07-31 02:25:49,98%
2024-07-31 02:26:20,98%
2024-07-31 02:26:49,98%
2024-07-31 02:27:20,98%
2024-07-31 02:27:49,98%
2024-07-31 02:28:20,98%
